"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","5","Italian","0.99","245366"
"1","false","","true","false","false","1","English","0.99","12690"
"1","false","","true","false","false","3","German","0.99","559276"
"1","false","","false","false","false","1","English","0.45","496010"
"1","false","","false","false","false","1","English","0.35","264057"
"1","false","","true","false","false","2","French","1.95","269460"
"1","false","","true","false","false","5","Italian","7.49","247911"
"1","false","","true","false","false","1","English","0.45","271453"
"1","false","","true","false","false","1","English","0.95","19523"
"1","false","","true","false","false","3","German","3.75","440"
"1","false","","true","false","false","1","English","0.49","282876"
"1","false","","true","false","false","3","German","0.99","287369"
"1","false","","false","false","false","3","German","0.35","261352"
"1","false","","false","false","false","3","German","0.45","266568"
"1","false","","true","false","false","1","English","1.25","21870"
"1","false","","false","false","false","1","English","2.45","301664"
"1","false","","false","false","false","1","English","16.55","298691"
"1","false","","false","false","false","9","Russian","13.99","21768"
"1","false","","true","false","false","3","German","0.45","513845"
"1","false","","false","false","false","1","English","0.95","78"
"1","false","","false","false","false","1","English","0.35","257120"
"1","false","","true","false","false","1","English","1.49","435129"
"1","false","","true","false","false","1","English","0.59","443318"
"1","false","","false","false","false","1","English","0.35","258111"
"1","false","","false","false","false","1","English","0.65","254616"
"1","false","","true","false","false","1","English","2.99","259300"
"1","false","","false","false","false","1","English","1.19","965"
"1","false","","false","false","false","3","German","0.65","254415"
"1","false","","true","false","false","1","English","1.45","262012"
"1","false","","false","false","false","5","Italian","59.9","15917"
"1","false","","false","false","false","5","Italian","3.49","17742"
"1","false","","false","false","false","1","English","0.35","431854"
"1","false","","false","false","false","9","Russian","0.35","375357"
"1","false","","false","false","false","6","S-Chinese","0.49","17916"
"1","false","","false","false","false","1","English","8.95","372131"
"1","false","","false","false","false","5","Italian","0.35","19151"
"1","false","","false","false","false","1","English","0.95","258372"
"1","false","","true","false","false","5","Italian","0.95","250623"
"1","false","","true","false","false","1","English","0.45","262116"
"1","false","","false","false","false","1","English","0.85","398994"
"1","false","","true","false","false","5","Italian","0.75","295481"
"1","false","","false","false","false","5","Italian","3.79","245262"
"1","false","","true","false","false","3","German","2.49","302026"
"1","false","","false","false","false","1","English","1.95","371819"
"1","false","","false","false","false","1","English","0.49","256651"
"1","false","","true","false","false","1","English","1.29","404824"
"1","false","","true","false","false","1","English","0.45","319492"
"1","false","","false","false","false","8","Portuguese","0.35","245971"
"1","false","","false","false","false","1","English","0.55","19533"
"1","false","","false","false","false","1","English","0.35","252530"
"1","false","","false","false","false","6","S-Chinese","0.35","13534"
"1","false","","false","false","false","1","English","0.75","300308"
"1","false","","false","false","false","1","English","0.45","454543"
"1","false","","false","false","false","3","German","0.35","288996"
"1","false","","false","false","false","1","English","0.35","273029"
"1","false","","false","false","false","3","German","34.95","8170"
"1","false","","true","false","false","3","German","0.45","511080"
"1","false","","false","false","false","9","Russian","0.99","13422"
"1","false","","false","false","false","1","English","34.95","7380"
"1","false","","false","false","false","1","English","3.99","5763"
"1","false","","true","false","false","1","English","0.39","291012"
"1","false","","false","false","false","1","English","0.35","256390"
"1","false","","false","false","false","1","English","0.35","11501"
"1","false","","true","false","false","1","English","0.45","513630"
"1","false","","false","false","false","3","German","0.35","266621"
"1","false","","false","false","false","7","Japanese","4.89","11343"
"1","false","","false","false","false","3","German","2.95","21263"
"1","false","","false","false","false","1","English","0.49","13065"
"1","false","","false","false","false","5","Italian","0.85","273220"
"1","false","","false","false","false","1","English","0.35","290920"
"1","false","","false","false","false","1","English","0.35","261502"
"1","false","","true","false","false","1","English","2.99","1840"
"1","false","","false","false","false","5","Italian","1.15","261432"
"1","false","","false","false","false","1","English","0.75","282990"
"1","false","","false","false","false","1","English","10.95","270682"
"1","false","","true","false","false","3","German","4.95","13531"
"1","false","","false","false","false","1","English","0.48","13797"
"1","false","","false","false","false","1","English","1.85","254198"
"1","false","","false","false","false","5","Italian","3.45","21810"
"1","false","","true","false","false","1","English","29.89","13889"
"1","false","","false","false","false","11","T-Chinese","0.45","2469"
"1","false","","false","false","false","1","English","0.39","294778"
"1","false","","false","false","false","3","German","0.35","270585"
"1","false","","true","false","false","1","English","0.49","262065"
"1","false","","false","false","false","11","T-Chinese","0.99","2679"
"1","false","","true","false","false","3","German","1.45","232"
"1","false","","false","false","false","3","German","20.45","269123"
"1","false","","false","false","false","3","German","0.35","18916"
"1","false","","false","false","false","1","English","0.99","18022"
"1","false","","false","false","false","5","Italian","0.35","284747"
"1","false","","false","false","false","7","Japanese","0.35","258528"
"1","false","","false","false","false","1","English","0.35","245385"
"1","false","","true","false","false","1","English","0.49","261961"
"1","false","","true","false","false","1","English","34.99","254241"
"1","false","","false","false","false","3","German","4.95","8743"
"1","false","","false","false","false","1","English","0.35","261241"
"1","false","","true","false","false","1","English","0.45","283555"
"1","false","","true","false","false","1","English","0.49","380100"
"1","false","","false","false","false","3","German","0.45","290927"
"1","false","","false","false","false","1","English","0.35","371976"
"1","false","","false","false","false","3","German","0.35","13229"
"1","false","","false","false","false","1","English","0.49","20004"
"1","false","","false","false","false","1","English","0.35","417511"
"1","false","","true","false","false","5","Italian","0.85","301374"
"1","false","","true","false","false","3","German","0.45","512175"
"1","false","","false","false","false","3","German","0.35","265889"
"1","false","","false","false","false","1","English","0.39","368271"
"1","false","","false","false","false","4","Spanish","0.48","258220"
"1","false","","false","false","false","3","German","3.95","19177"
"1","false","","false","false","false","1","English","0.35","271463"
"1","false","","false","false","false","1","English","4.39","17551"
"1","false","","false","false","false","1","English","0.35","372078"
"1","false","","false","false","false","3","German","0.35","242417"
"1","false","","false","false","false","3","German","10.95","3266"
"1","false","","true","false","false","1","English","0.45","294560"
"1","false","","false","false","false","3","German","0.35","21261"
"1","false","","false","false","false","3","German","0.45","11508"
"1","false","","false","false","false","1","English","43.99","415319"
"1","false","","true","false","false","3","German","6.39","382350"
"1","false","","true","false","false","3","German","19.95","283"
"1","false","","false","false","false","3","German","0.85","22252"
"1","false","","true","false","false","1","English","3.98","319806"
"1","false","","true","false","false","1","English","0.59","371809"
"1","false","","false","false","false","1","English","0.35","242412"
"1","false","","true","false","false","1","English","2.49","501685"
"1","false","","true","false","false","3","German","3.99","557137"
"1","false","","false","false","false","1","English","0.49","372237"
"1","false","","false","false","false","1","English","19.99","16560"
"1","false","","false","false","false","1","English","0.35","292535"
"1","false","","false","false","false","1","English","3.65","292745"
"1","false","","false","false","false","1","English","0.35","371817"
"1","false","","false","false","false","3","German","0.35","250398"
"1","false","","true","false","false","3","German","0.49","284449"
"1","false","","false","false","false","1","English","0.35","13326"
"1","false","","false","false","false","1","English","0.35","1018"
"1","false","","false","false","false","1","English","0.35","372288"
"1","false","","false","false","false","1","English","0.75","245958"
"1","false","","false","false","false","1","English","0.65","300465"
"1","false","","false","false","false","1","English","0.35","296760"
"1","false","","false","false","false","1","English","0.35","263953"
"1","false","","false","false","false","1","English","0.35","420066"
"1","false","","false","false","false","5","Italian","0.95","288972"
"1","false","","false","false","false","1","English","0.35","242673"
"1","false","","false","false","false","3","German","1.15","259841"
"1","false","","false","false","false","1","English","0.45","2270"
"1","false","","false","false","false","1","English","0.49","21778"
"1","false","","false","false","false","1","English","0.45","1850"
"1","false","","false","false","false","1","English","0.35","362013"
"1","false","","true","false","false","1","English","11.98","16393"
"1","false","","false","false","false","3","German","0.35","242837"
"1","false","","false","false","false","3","German","2.79","556835"
"1","false","","false","false","false","1","English","0.95","250444"
"1","false","","false","false","false","3","German","2.49","242627"
"1","false","","false","false","false","1","English","2.95","13638"
"1","false","","true","false","false","3","German","6.99","403999"
"1","false","","false","false","false","1","English","0.65","378705"
"1","false","","false","false","false","1","English","44.99","17188"
"1","false","","false","false","false","1","English","7.99","316215"
"1","false","","false","false","false","1","English","13.99","366187"
"1","false","","false","false","false","1","English","1.35","270784"
"1","false","","false","false","false","3","German","5.95","21000"
"1","false","","false","false","false","9","Russian","0.75","19266"
"1","false","","false","false","false","1","English","0.49","485994"
"1","false","","false","false","false","1","English","0.35","263902"
"1","false","","false","false","false","3","German","0.35","3996"
"1","false","","false","false","false","1","English","0.35","484589"
"1","false","","false","false","false","3","German","3.25","247215"
"1","false","","false","false","false","3","German","0.35","301200"
"1","false","","true","false","false","3","German","3.95","19167"
"1","false","","false","false","false","5","Italian","0.45","368099"
"1","false","","true","false","false","3","German","39.99","3568"
"1","false","","true","false","false","1","English","1.79","287207"
"1","false","","false","false","false","1","English","2.95","270631"
"1","false","","true","false","false","3","German","1.99","378702"
"1","false","","true","false","false","1","English","0.98","400024"
"1","false","","true","false","false","1","English","0.45","368416"
"1","false","","false","false","false","1","English","0.89","290973"
"1","false","","false","false","false","3","German","0.39","254625"
"1","false","","false","false","false","3","German","0.35","21834"
"1","false","","false","false","false","5","Italian","0.35","284800"
"1","false","","true","false","false","1","English","24.9","248032"
"1","false","","false","false","false","1","English","10.95","241943"
"1","false","","false","false","false","1","English","0.35","292378"
"1","false","","true","false","false","3","German","0.89","292952"
"1","false","","false","false","false","1","English","0.35","301193"
"1","false","","false","false","false","3","German","5.95","10464"
"1","false","","false","false","false","1","English","289.9","6909"
"1","false","","true","false","false","1","English","0.79","443163"
"1","false","","false","false","false","6","S-Chinese","0.35","17810"
"1","false","","false","false","false","1","English","0.35","250703"
"1","false","","true","false","false","3","German","3.45","372126"
"1","false","","false","false","false","7","Japanese","4.99","293684"
"1","false","","true","false","false","3","German","4.9","559274"
"1","false","","true","false","false","5","Italian","7.99","3389"
"1","false","","true","false","false","3","German","0.45","450943"
"1","false","","false","false","false","5","Italian","0.49","292516"
"1","false","","false","false","false","3","German","0.35","13388"
"1","false","","false","false","false","1","English","0.35","297229"
"1","false","","true","false","false","1","English","76.98","261910"
"1","false","","true","false","false","3","German","8.49","242827"
"1","false","","false","false","false","1","English","0.35","263955"
"1","false","","false","false","false","3","German","3.45","7754"
"1","false","","true","false","false","3","German","0.45","257584"
"1","false","","false","false","false","1","English","1.25","16403"
"1","false","","false","false","false","9","Russian","0.35","13577"
"1","false","","false","false","false","1","English","8.95","247938"
"1","false","","true","false","false","3","German","1.38","312146"
"1","false","","false","false","false","1","English","2.65","245330"
"1","false","","true","false","false","1","English","7.47","401329"
"1","false","","true","false","false","3","German","0.45","269425"
"1","false","","false","false","false","3","German","1.75","17874"
"1","false","","false","false","false","5","Italian","0.45","254756"
"1","false","","false","false","false","6","S-Chinese","0.35","13324"
"1","false","","false","false","false","1","English","13.99","5553"
"1","false","","false","false","false","3","German","0.79","2487"
"1","false","","false","false","false","1","English","0.35","242826"
"1","false","","false","false","false","3","German","0.35","21734"
"1","false","","true","false","false","1","English","18.45","404614"
"1","false","","false","false","false","1","English","1.95","264997"
"1","false","","false","false","false","1","English","0.55","301509"
"1","false","","false","false","false","3","German","0.35","297187"
"1","false","","false","false","false","1","English","0.35","430914"
"1","false","","false","false","false","1","English","0.35","295981"
"1","false","","true","false","false","1","English","16.9","287307"
"1","false","","false","false","false","1","English","0.45","2688"
"1","false","","false","false","false","3","German","0.35","296767"
"1","false","","false","false","false","3","German","0.35","245914"
"1","false","","true","false","false","1","English","0.59","510445"
"1","false","","true","false","false","1","English","11.99","292994"
"1","false","","false","false","false","5","Italian","490","299924"
"1","false","","false","false","false","3","German","0.35","298492"
"1","false","","false","false","false","1","English","0.95","297127"
"1","false","","true","false","false","1","English","2.48","366177"
"1","false","","false","false","false","1","English","2.99","366864"
"1","false","","true","false","false","3","German","5.49","287210"
"1","false","","true","false","false","1","English","2.99","267695"
"1","false","","false","false","false","1","English","0.45","250599"
"1","false","","false","false","false","3","German","0.35","250763"
"1","false","","false","false","false","5","Italian","2.35","248027"
"1","false","","true","false","false","1","English","0.45","366956"
"1","false","","false","false","false","5","Italian","0.35","264250"
"1","false","","false","false","false","5","Italian","0.95","242079"
"1","false","","false","false","false","3","German","20.99","557620"
"1","false","","true","false","false","3","German","59.99","14157"
"1","false","","false","false","false","3","German","0.49","9159"
"1","false","","true","false","false","1","English","0.69","292733"
"1","false","","false","false","false","1","English","0.85","400034"
"1","false","","true","false","false","3","German","0.45","298843"
"1","false","","false","false","false","3","German","1.15","448"
"1","false","","false","false","false","3","German","0.49","298753"
"1","false","","false","false","false","1","English","0.35","484534"
"1","false","","false","false","false","1","English","3.35","291179"
"1","false","","false","false","false","11","T-Chinese","0.69","2624"
"1","false","","false","false","false","7","Japanese","0.35","259933"
"1","false","","false","false","false","1","English","69.99","4827"
"1","false","","false","false","false","10","Korean","9.99","273106"
"1","false","","false","false","false","3","German","0.35","271472"
"1","false","","false","false","false","3","German","2.25","8117"
"1","false","","false","false","false","1","English","0.35","291756"
"1","false","","false","false","false","3","German","0.35","372138"
"1","false","","true","false","false","5","Italian","4.99","256675"
"1","false","","false","false","false","1","English","0.35","3989"
"1","false","","false","false","false","2","French","7.99","326"
"1","false","","true","false","false","1","English","0.49","360229"
"1","false","","true","false","false","3","German","5.9","19948"
"1","false","","false","false","false","3","German","0.35","315335"
"1","false","","false","false","false","1","English","0.35","289093"
"1","false","","false","false","false","1","English","0.35","301611"
"1","false","","true","false","false","1","English","13.9","274"
"1","false","","false","false","false","1","English","0.35","258531"
"1","false","","false","false","false","3","German","0.45","21838"
"1","false","","false","false","false","1","English","0.55","1905"
"1","false","","false","false","false","1","English","3.95","292539"
"1","false","","false","false","false","7","Japanese","18.99","11239"
"1","false","","false","false","false","3","German","17.95","346"
"1","false","","false","false","false","1","English","0.35","416936"
"1","false","","false","false","false","5","Italian","6.95","265553"
"1","false","","true","false","false","5","Italian","8.89","283693"
"1","false","","true","false","false","3","German","2.49","380160"
"1","false","","true","false","false","1","English","1.15","242241"
"1","false","","false","false","false","3","German","0.39","242052"
"1","false","","false","false","false","1","English","0.35","2425"
"1","false","","false","false","false","1","English","0.85","452508"
"1","false","","false","false","false","1","English","0.35","21152"
"1","false","","false","false","false","1","English","0.35","294782"
"1","false","","false","false","false","1","English","0.35","247995"
"1","false","","false","false","false","1","English","0.35","371872"
"1","false","","false","false","false","3","German","0.35","288998"
"1","false","","false","false","false","3","German","0.95","242572"
"1","false","","false","false","false","1","English","3.55","293681"
"1","false","","false","false","false","5","Italian","0.35","301284"
"1","false","","false","false","false","1","English","0.45","1644"
"1","false","","true","false","false","1","English","10","3039"
"1","false","","false","false","false","1","English","3.95","300310"
"1","false","","false","false","false","11","T-Chinese","0.45","2524"
"1","false","","true","false","false","6","S-Chinese","3.49","245891"
"1","false","","true","false","false","1","English","0.99","21085"
"1","false","","false","false","false","7","Japanese","0.35","258212"
"1","false","","false","false","false","1","English","0.35","271569"
"1","false","","false","false","false","6","S-Chinese","0.35","17971"
"1","false","","true","false","false","2","French","4.39","285059"
"1","false","","true","false","false","5","Italian","4.99","22214"
"1","false","","true","false","false","1","English","0.69","513000"
"1","false","","false","false","false","1","English","0.45","372076"
"1","false","","false","false","false","1","English","2.65","295871"
"1","false","","false","false","false","3","German","0.49","13070"
"1","false","","false","false","false","1","English","0.35","298016"
"1","false","","false","false","false","1","English","0.35","484434"
"1","false","","false","false","false","3","German","4.95","290982"
"1","false","","true","false","false","3","German","0.59","283356"
"1","false","","true","false","false","1","English","0.49","283029"
"1","false","","false","false","false","1","English","0.35","252481"
"1","false","","false","false","false","1","English","0.55","22145"
"1","false","","false","false","false","3","German","0.45","2436"
"1","false","","false","false","false","11","T-Chinese","0.49","2473"
"1","false","","true","false","false","1","English","0.49","264206"
"1","false","","false","false","false","1","English","0.35","270678"
"1","false","","false","false","false","1","English","0.35","293687"
"1","false","","true","false","false","1","English","0.69","466474"
"1","false","","false","false","false","3","German","1.19","293531"
"1","false","","true","false","false","3","German","109.99","489"
"1","false","","false","false","false","1","English","5.95","8375"
"1","false","","false","false","false","1","English","0.35","392477"
"1","false","","false","false","false","3","German","0.59","269329"
"1","false","","false","false","false","6","S-Chinese","6.95","11340"
"1","false","","false","false","false","1","English","0.49","315385"
"1","false","","true","false","false","1","English","0.39","259981"
"1","false","","true","false","false","1","English","0.45","514050"
"1","false","","false","false","false","5","Italian","0.35","284743"
"1","false","","false","false","false","1","English","0.45","301191"
"1","false","","false","false","false","1","English","0.35","265723"
"1","false","","false","false","false","1","English","0.49","245381"
"1","false","","true","false","false","5","Italian","6.45","258294"
"1","false","","false","false","false","1","English","1.89","13069"
"1","false","","true","false","false","1","English","11.99","485929"
"1","false","","false","false","false","1","English","0.35","300357"
"1","false","","false","false","false","3","German","0.35","292599"
"1","false","","true","false","false","1","English","0.45","298736"
"1","false","","false","false","false","1","English","0.45","298120"
"1","false","","true","false","false","3","German","0.99","375672"
"1","false","","true","false","false","3","German","1.39","302022"
"1","false","","false","false","false","1","English","7.45","247161"
"1","false","","false","false","false","1","English","0.39","298173"
"1","false","","true","false","false","3","German","9.99","250645"
"1","false","","false","false","false","1","English","0.35","422156"
"1","false","","false","false","false","1","English","5.45","429666"
"1","false","","true","false","false","1","English","0.45","294772"
"1","false","","false","false","false","5","Italian","0.35","258200"
"1","false","","false","false","false","7","Japanese","0.35","21773"
"1","false","","true","false","false","3","German","3.95","242091"
"1","false","","true","false","false","1","English","2.29","283551"
"1","false","","false","false","false","3","German","0.35","11459"
"1","false","","false","false","false","1","English","0.35","418296"
"1","false","","false","false","false","5","Italian","0.35","284437"
"1","false","","true","false","false","3","German","0.39","282098"
"1","false","","false","false","false","1","English","0.79","252526"
"1","false","","false","false","false","3","German","0.35","294789"
"1","false","","false","false","false","11","T-Chinese","0.35","2577"
"1","false","","true","false","false","1","English","0.49","262322"
"1","false","","true","false","false","1","English","1.09","258201"
"1","false","","true","false","false","1","English","0.45","319547"
"1","false","","false","false","false","5","Italian","8.89","22381"
"1","false","","true","false","false","1","English","0.45","254655"
"1","false","","false","false","false","1","English","0.45","400144"
"1","false","","false","false","false","3","German","1.19","264166"
"1","false","","false","false","false","8","Portuguese","2.99","245812"
"1","false","","false","false","false","3","German","3.75","3062"
"1","false","","false","false","false","3","German","0.39","241848"
"1","false","","false","false","false","2","French","2.35","19259"
"1","false","","false","false","false","1","English","0.35","362015"
"1","false","","true","false","false","3","German","0.99","332"
"1","false","","false","false","false","1","English","0.35","270521"
"1","false","","true","false","false","5","Italian","8.49","242587"
"1","false","","false","false","false","7","Japanese","1.24","247994"
"1","false","","false","false","false","1","English","0.35","242049"
"1","false","","true","false","false","1","English","0.99","443218"
"1","false","","false","false","false","1","English","0.35","375369"
"1","false","","true","false","false","1","English","0.99","435029"
"1","false","","false","false","false","1","English","0.35","301197"
"1","false","","true","false","false","3","German","0.95","378696"
"1","false","","false","false","false","1","English","2.95","378864"
"1","false","","false","false","false","1","English","0.35","292382"
"1","false","","true","false","false","1","English","0.45","290443"
"1","false","","true","false","false","3","German","1.25","298998"
"1","false","","false","false","false","1","English","4.35","1960"
"1","false","","false","false","false","1","English","4.95","360080"
"1","false","","true","false","false","3","German","15.99","3148"
"1","false","","false","false","false","1","English","9.95","378336"
"1","false","","false","false","false","1","English","3.75","498"
"1","false","","false","false","false","1","English","5.89","558545"
"1","false","","true","false","false","3","German","3.9","364665"
"1","false","","false","false","false","1","English","0.35","264061"
"1","false","","true","false","false","1","English","6.99","297641"
"1","false","","false","false","false","3","German","0.35","301302"
"1","false","","true","false","false","1","English","2.49","364299"
"1","false","","true","false","false","1","English","0.49","319496"
"1","false","","false","false","false","1","English","0.35","18956"
"1","false","","false","false","false","1","English","1.45","454233"
"1","false","","false","false","false","3","German","0.35","319825"
"1","false","","false","false","false","6","S-Chinese","5.35","2735"
"1","false","","false","false","false","1","English","10.95","16511"
"1","false","","true","false","false","1","English","0.39","22231"
"1","false","","false","false","false","1","English","2.35","293634"
"1","false","","false","false","false","3","German","0.19","15894"
"1","false","","false","false","false","5","Italian","0.45","270457"
"1","false","","true","false","false","3","German","3.99","298690"
"1","false","","true","false","false","1","English","3.85","319235"
"1","false","","false","false","false","11","T-Chinese","0.45","2630"
"1","false","","true","false","false","1","English","0.59","319025"
"1","false","","false","false","false","3","German","0.35","292748"
"1","false","","false","false","false","1","English","0.35","312353"
"1","false","","true","false","false","3","German","8.99","2948"
"1","false","","false","false","false","1","English","12.95","8530"
"1","false","","true","false","false","3","German","0.49","273393"
"1","false","","true","false","false","6","S-Chinese","5.99","259824"
"1","false","","false","false","false","1","English","2.99","20887"
"1","false","","false","false","false","1","English","0.49","371919"
"1","false","","false","false","false","7","Japanese","3.95","372179"
"1","false","","true","false","false","1","English","0.39","19207"
"1","false","","false","false","false","3","German","0.35","315282"
"1","false","","false","false","false","1","English","0.35","245328"
"1","false","","true","false","false","3","German","7.45","285071"
"1","false","","false","false","false","3","German","0.95","271527"
"1","false","","false","false","false","5","Italian","0.35","265549"
"1","false","","true","false","false","1","English","4.49","380253"
"1","false","","true","false","false","1","English","0.95","359964"
"1","false","","false","false","false","1","English","0.35","285855"
"1","false","","false","false","false","1","English","0.35","12965"
"1","false","","false","false","false","3","German","0.35","270536"
"1","false","","false","false","false","1","English","4.95","21727"
"1","false","","true","false","false","1","English","4.45","282982"
"1","false","","false","false","false","7","Japanese","0.35","258367"
"1","false","","true","false","false","3","German","0.99","22136"
"1","false","","false","false","false","3","German","3.35","246744"
"1","false","","false","false","false","1","English","0.35","13377"
"1","false","","false","false","false","1","English","0.45","271565"
"1","false","","false","false","false","1","English","0.35","2421"
"1","false","","false","false","false","3","German","0.35","296773"
"1","false","","true","false","false","1","English","1.99","380202"
"1","false","","false","false","false","3","German","0.35","284306"
"1","false","","false","false","false","1","English","2.95","11915"
"1","false","","false","false","false","1","English","0.65","262332"
"1","false","","true","false","false","1","English","0.49","295912"
"1","false","","true","false","false","3","German","0.75","495279"
"1","false","","false","false","false","1","English","3.35","282831"
"1","false","","false","false","false","2","French","1.99","20929"
"1","false","","true","false","false","1","English","6.89","267748"
"1","false","","false","false","false","7","Japanese","0.35","265877"
"1","false","","false","false","false","4","Spanish","0.65","254415"
"1","false","","true","false","false","3","German","10.95","22505"
"1","false","","false","false","false","5","Italian","0.75","259819"
"1","false","","true","false","false","1","English","19.9","14250"
"1","false","","false","false","false","1","English","0.75","13273"
"1","false","","false","false","false","3","German","4.95","10307"
"1","false","","false","false","false","1","English","1.99","15157"
"1","false","","true","false","false","3","German","0.45","254670"
"1","false","","false","false","false","1","English","0.45","294774"
"1","false","","true","false","false","1","English","0.99","495274"
"1","false","","false","false","false","1","English","0.35","417091"
"1","false","","false","false","false","1","English","15.95","301405"
"1","false","","false","false","false","1","English","0.35","245438"
"1","false","","true","false","false","1","English","0.95","19215"
"1","false","","true","false","false","3","German","0.95","269529"
"1","false","","false","false","false","1","English","0.45","2639"
"1","false","","true","false","false","1","English","0.75","403884"
"1","false","","true","false","false","1","English","57.99","22178"
"1","false","","true","false","false","3","German","0.99","559323"
"1","false","","false","false","false","1","English","0.35","375051"
"1","false","","false","false","false","3","German","0.35","294840"
"1","false","","false","false","false","1","English","0.35","421991"
"1","false","","false","false","false","1","English","0.45","400244"
"1","false","","false","false","false","3","German","0.95","250498"
"1","false","","true","false","false","1","English","6.95","16291"
"1","false","","true","false","false","1","English","4.49","14886"
"1","false","","true","false","false","7","Japanese","3.95","22181"
"1","false","","false","false","false","3","German","0.45","296763"
"1","false","","false","false","false","7","Japanese","0.95","19799"
"1","false","","false","false","false","6","S-Chinese","0.35","17806"
"1","false","","false","false","false","5","Italian","2.45","222"
"1","false","","true","false","false","3","German","1.79","556464"
"1","false","","true","false","false","3","German","2.79","12128"
"1","false","","false","false","false","3","German","3.95","293592"
"1","false","","false","false","false","6","S-Chinese","0.75","17920"
"1","false","","false","false","false","3","German","0.65","273142"
"1","false","","false","false","false","1","English","0.35","399204"
"1","false","","true","false","false","3","German","0.45","319762"
"1","false","","false","false","false","7","Japanese","2.95","262284"
"1","false","","true","false","false","3","German","1.79","297128"
"1","false","","true","false","false","3","German","0.89","327172"
"1","false","","false","false","false","3","German","0.35","257125"
"1","false","","false","false","false","3","German","0.35","361973"
"1","false","","true","false","false","3","German","0.45","511235"
"1","false","","false","false","false","1","English","0.35","362007"
"1","false","","false","false","false","6","S-Chinese","16.99","20730"
"1","false","","true","false","false","1","English","0.45","510290"
"1","false","","false","false","false","1","English","0.35","452253"
"1","false","","false","false","false","3","German","0.45","21789"
"1","false","","false","false","false","1","English","19.95","7225"
"1","false","","true","false","false","1","English","0.49","319543"
"1","false","","false","false","false","3","German","0.35","266615"
"1","false","","false","false","false","1","English","0.35","263951"
"1","false","","false","false","false","1","English","2.95","398939"
"1","false","","false","false","false","1","English","0.35","270735"
"1","false","","true","false","false","1","English","0.45","297166"
"1","false","","false","false","false","1","English","0.35","13534"
"1","false","","true","false","false","1","English","0.39","290382"
"1","false","","false","false","false","1","English","8.35","273180"
"1","false","","false","false","false","3","German","0.45","301728"
"1","false","","false","false","false","9","Russian","0.99","13428"
"1","false","","true","false","false","3","German","0.45","400039"
"1","false","","true","false","false","3","German","0.99","557404"
"1","false","","true","false","false","1","English","2.15","430439"
"1","false","","true","false","false","3","German","0.45","359604"
"1","false","","false","false","false","5","Italian","0.35","261220"
"1","false","","false","false","false","2","French","1.49","15095"
"1","false","","false","false","false","3","German","6.95","13757"
"1","false","","true","false","false","3","German","1.49","262902"
"1","false","","false","false","false","1","English","0.35","401084"
"1","false","","false","false","false","1","English","0.35","22506"
"1","false","","false","false","false","3","German","2.75","238"
"1","false","","true","false","false","3","German","34.45","315637"
"1","false","","false","false","false","1","English","0.95","262907"
"1","false","","true","false","false","1","English","5.98","13206"
"1","false","","false","false","false","3","German","3.55","258383"
"1","false","","false","false","false","1","English","4.35","15153"
"1","false","","false","false","false","3","German","0.35","242680"
"1","false","","false","false","false","1","English","0.45","366815"
"1","false","","true","false","false","1","English","1.95","262018"
"1","false","","true","false","false","1","English","3.59","366169"
"1","false","","false","false","false","1","English","0.45","250550"
"1","false","","true","false","false","5","Italian","0.89","355724"
"1","false","","false","false","false","1","English","0.35","271461"
"1","false","","false","false","false","1","English","0.45","2578"
"1","false","","false","false","false","1","English","0.35","319810"
"1","false","","false","false","false","3","German","0.35","292595"
"1","false","","true","false","false","1","English","0.49","319439"
"1","false","","false","false","false","5","Italian","0.35","258353"
"1","false","","false","false","false","1","English","0.35","247204"
"1","false","","true","false","false","3","German","9.99","19795"
"1","false","","false","false","false","1","English","0.39","484324"
"1","false","","false","false","false","3","German","1.95","2740"
"1","false","","false","false","false","1","English","0.45","270478"
"1","false","","true","false","false","3","German","0.45","360240"
"1","false","","false","false","false","1","English","0.35","19582"
"1","false","","false","false","false","1","English","0.39","298116"
"1","false","","false","false","false","1","English","9.98","291750"
"1","false","","false","false","false","1","English","1.65","295875"
"1","false","","false","false","false","4","Spanish","1.35","246748"
"1","false","","true","false","false","1","English","0.45","21817"
"1","false","","true","false","false","1","English","7.99","435604"
"1","false","","false","false","false","1","English","16.95","319027"
"1","false","","false","false","false","5","Italian","0.59","21816"
"1","false","","false","false","false","1","English","0.35","296715"
"1","false","","true","false","false","3","German","0.49","301718"
"1","false","","true","false","false","1","English","0.39","301234"
"1","false","","false","false","false","1","English","0.45","254196"
"1","false","","false","false","false","1","English","1.15","10667"
"1","false","","true","false","false","3","German","0.99","559327"
"1","false","","true","false","false","5","Italian","9.9","21749"
"1","false","","true","false","false","1","English","0.39","19833"
"1","false","","true","false","false","3","German","99.99","266609"
"1","false","","false","false","false","6","S-Chinese","0.45","2639"
"1","false","","true","false","false","5","Italian","3.99","319793"
"1","false","","false","false","false","3","German","0.35","270583"
"1","false","","false","false","false","3","German","0.45","247849"
"1","false","","false","false","false","1","English","0.39","298059"
"1","false","","false","false","false","1","English","0.95","291807"
"1","false","","false","false","false","1","English","0.75","240695"
"1","false","","true","false","false","1","English","0.45","254447"
